trial,block,type,direction,stimulus,response,accuracy,rt
1,practice,incongruent,left,>><>>,left,1,1091
2,practice,incongruent,left,>><>>,left,1,487
3,practice,congruent,right,>>>>>,right,1,635
4,practice,incongruent,right,<<><<,right,1,579
1,main,congruent,left,<<<<<,left,1,441
2,main,incongruent,right,<<><<,left,0,393
3,main,congruent,left,<<<<<,left,1,426
4,main,incongruent,right,<<><<,right,1,377
5,main,congruent,left,<<<<<,left,1,362
6,main,congruent,right,>>>>>,right,1,314
7,main,congruent,right,>>>>>,right,1,377
8,main,incongruent,right,<<><<,left,0,396
9,main,congruent,right,>>>>>,right,1,442
10,main,incongruent,left,>><>>,left,1,499
11,main,congruent,left,<<<<<,left,1,408
12,main,congruent,right,>>>>>,right,1,378
13,main,congruent,right,>>>>>,right,1,515
14,main,congruent,left,<<<<<,left,1,444
15,main,incongruent,left,>><>>,left,1,651
16,main,incongruent,left,>><>>,right,0,397
17,main,congruent,left,<<<<<,left,1,429
18,main,incongruent,left,>><>>,left,1,492
19,main,incongruent,left,>><>>,left,1,599
20,main,incongruent,right,<<><<,right,1,600
1,practice,congruent,left,<<<<<,left,1,565
2,practice,incongruent,left,>><>>,left,1,777
3,practice,incongruent,right,<<><<,right,1,612
4,practice,incongruent,left,>><>>,left,1,549
1,main,congruent,left,<<<<<,left,1,393
2,main,congruent,left,<<<<<,left,1,376
3,main,incongruent,right,<<><<,right,1,498
4,main,incongruent,right,<<><<,right,1,529
5,main,incongruent,left,>><>>,right,0,429
6,main,congruent,right,>>>>>,right,1,429
7,main,congruent,right,>>>>>,right,1,445
8,main,incongruent,right,<<><<,left,0,345
9,main,congruent,right,>>>>>,right,1,497
10,main,congruent,right,>>>>>,right,1,378
11,main,congruent,left,<<<<<,left,1,429
12,main,incongruent,right,<<><<,right,1,600
13,main,incongruent,right,<<><<,right,1,479
14,main,incongruent,right,<<><<,right,1,648
15,main,congruent,right,>>>>>,right,1,344
16,main,incongruent,right,<<><<,right,1,413
17,main,incongruent,left,>><>>,left,1,560
18,main,congruent,left,<<<<<,left,1,412
19,main,incongruent,left,>><>>,left,1,585
20,main,congruent,left,<<<<<,left,1,378
1,practice,incongruent,left,>><>>,no_response,0,
2,practice,congruent,right,>>>>>,no_response,0,
3,practice,congruent,right,>>>>>,right,1,1693
4,practice,incongruent,left,>><>>,left,1,581
1,main,congruent,left,<<<<<,left,1,481
2,main,congruent,left,<<<<<,left,1,368
3,main,congruent,left,<<<<<,left,1,379
4,main,incongruent,right,<<><<,right,1,445
5,main,congruent,left,<<<<<,left,1,430
6,main,incongruent,right,<<><<,right,1,617
7,main,incongruent,left,>><>>,left,1,411
8,main,incongruent,right,<<><<,right,1,414
9,main,incongruent,right,<<><<,right,1,411
