trial,block,type,direction,stimulus,response,accuracy,rt
1,practice,congruent,left,<<<<<,left,1,1490
2,practice,incongruent,left,>><>>,right,0,293
3,practice,congruent,right,>>>>>,right,1,554
4,practice,congruent,left,<<<<<,left,1,329
1,main,incongruent,right,<<><<,right,1,635
2,main,incongruent,right,<<><<,left,0,513
3,main,congruent,left,<<<<<,left,1,548
4,main,congruent,right,>>>>>,right,1,310
5,main,congruent,right,>>>>>,left,0,276
6,main,congruent,right,>>>>>,right,1,464
7,main,incongruent,right,<<><<,left,0,362
8,main,incongruent,left,>><>>,right,0,735
9,main,congruent,right,>>>>>,right,1,548
10,main,incongruent,right,<<><<,left,1,566
11,main,incongruent,left,>><>>,right,0,699
12,main,congruent,right,>>>>>,right,1,819
13,main,congruent,right,>>>>>,right,1,531
14,main,incongruent,left,>><>>,no_response,0,
15,main,congruent,left,<<<<<,left,1,531
16,main,congruent,right,>>>>>,right,1,414
17,main,incongruent,right,<<><<,right,1,665
18,main,incongruent,left,>><>>,right,0,939
19,main,incongruent,right,<<><<,left,1,702
20,main,incongruent,left,>><>>,right,0,666
