trial,block,type,direction,stimulus,response,accuracy,rt,participant
1,practice,incongruent,left,>><>>,left,1,1091.0,1
2,practice,incongruent,left,>><>>,left,1,487.0,1
3,practice,congruent,right,>>>>>,right,1,635.0,1
4,practice,incongruent,right,<<><<,right,1,579.0,1
1,main,congruent,left,<<<<<,left,1,441.0,1
2,main,incongruent,right,<<><<,left,0,393.0,1
3,main,congruent,left,<<<<<,left,1,426.0,1
4,main,incongruent,right,<<><<,right,1,377.0,1
5,main,congruent,left,<<<<<,left,1,362.0,1
6,main,congruent,right,>>>>>,right,1,314.0,1
7,main,congruent,right,>>>>>,right,1,377.0,1
8,main,incongruent,right,<<><<,left,0,396.0,1
9,main,congruent,right,>>>>>,right,1,442.0,1
10,main,incongruent,left,>><>>,left,1,499.0,1
11,main,congruent,left,<<<<<,left,1,408.0,1
12,main,congruent,right,>>>>>,right,1,378.0,1
13,main,congruent,right,>>>>>,right,1,515.0,1
14,main,congruent,left,<<<<<,left,1,444.0,1
15,main,incongruent,left,>><>>,left,1,651.0,1
16,main,incongruent,left,>><>>,right,0,397.0,1
17,main,congruent,left,<<<<<,left,1,429.0,1
18,main,incongruent,left,>><>>,left,1,492.0,1
19,main,incongruent,left,>><>>,left,1,599.0,1
20,main,incongruent,right,<<><<,right,1,600.0,1
1,practice,congruent,left,<<<<<,left,1,565.0,2
2,practice,incongruent,left,>><>>,left,1,777.0,2
3,practice,incongruent,right,<<><<,right,1,612.0,2
4,practice,incongruent,left,>><>>,left,1,549.0,2
1,main,congruent,left,<<<<<,left,1,393.0,2
2,main,congruent,left,<<<<<,left,1,376.0,2
3,main,incongruent,right,<<><<,right,1,498.0,2
4,main,incongruent,right,<<><<,right,1,529.0,2
5,main,incongruent,left,>><>>,right,0,429.0,2
6,main,congruent,right,>>>>>,right,1,429.0,2
7,main,congruent,right,>>>>>,right,1,445.0,2
8,main,incongruent,right,<<><<,left,0,345.0,2
9,main,congruent,right,>>>>>,right,1,497.0,2
10,main,congruent,right,>>>>>,right,1,378.0,2
11,main,congruent,left,<<<<<,left,1,429.0,2
